categories,count
Administrative Services,382
Advertising,1224
Agriculture And Farming,259
Apps,3380
Artificial Intelligence,4406
Biotechnology,1015
Clothing And Apparel,442
Commerce And Shopping,3323
Community And Lifestyle,1101
Consumer Electronics,2607
Consumer Goods,654
Content And Publishing,1562
Data And Analytics,7083
Design,1305
Education,959
Energy,465
Events,458
Financial Services,2148
Food And Beverage,719
Gaming,608
Government And Military,226
Hardware,6008
Health Care,2254
Information Technology,5934
Internet Services,7366
Lending And Investments,480
Manufacturing,745
Media And Entertainment,4286
Messaging And Telecommunications,1305
Mobile,5457
Music And Audio,505
Natural Resources,320
Navigation And Mapping,631
Payments,1133
Platforms,1101
Privacy And Security,1431
Professional Services,863
Real Estate,834
Sales And Marketing,2595
Science And Engineering,5249
Software,14989
Sports,625
Sustainability,489
Transportation,1314
Travel And Tourism,503
Video,1135